Job_ID,Salaried,Type,Duration
01HQY593Z497V621GXBAHXG6XS,True,Academic,16 weeks
01HQY593Z42JVGHAE098WV6WK2,True,Industry,16 weeks
01HQY593Z4Y8NE6HTTYXCSY4XZ,True,Industry,16 weeks
01HQY593Z52F04SCXP0MH4873H,True,Industry,12 weeks
01HQY593Z5ASBP2YT36H9Q1XJ5,True,Industry,12 weeks
01HQY593Z5Z00BCVKHVSE7ENAH,True,Industry,16 weeks
01HQY593Z6AEFYQY7B3XSNW5AN,True,Industry,12 weeks
01HQY593Z6S83SFQXGQ7Z4DG3Y,True,Industry,16 weeks
01HQY593Z68FRBCAAHPCR63MDZ,True,Industry,16 weeks
01HQY593Z725E4HRP8R9A50R4D,True,Industry,12 weeks
01HQY593Z70QS67Y9TB0Y4PX89,True,Academic,12 weeks
01HQY593Z72BN5K8Z96RN2HNPV,True,Industry,12 weeks
01HQY593Z8WJNK2K4TT4VT0A8G,True,Industry,12 weeks
01HQY593Z8GE5T5V5KFKC1CVTN,True,Industry,16 weeks
01HQY593Z89YVTNSNGR9TC9H7C,True,Industry,12 weeks
01HQY593Z96YBVMGKP2VV5SHER,True,Industry,16 weeks
01HQY593Z99JXR27X89D4RSMX9,True,Academic,4 weeks
01HQY593ZAJ6GA1Q6HDR7M1J32,True,Industry,12 weeks
01HQY593ZACKP949JFBEH41E4E,True,Industry,12 weeks
01HQY593ZA3W33N72G64PW8EXZ,True,Industry,16 weeks
01HQY593ZAADB9XRAFKYZTB4VE,True,Industry,12 weeks
01HQY593ZBRSD9Y77JH36VWEEY,True,Industry,16 weeks
01HQY593ZBFFYQ3QNCYKRTYRAH,True,Industry,12 weeks
01HQY593ZBWQSTQB3PA6DXJ9VZ,True,Industry,16 weeks
01HQY593ZCE81R6BBS39AK3QA1,True,Industry,16 weeks
01HQY593ZCHQSF5M423HA345M3,True,Industry,4 weeks
01HQY593ZDN3SJ5ZAWDMPGWGTW,True,Industry,16 weeks
01HQY593ZDZ76M3JQP6PY3TZ2E,True,Academic,8 weeks
01HQY593ZD3YNWPZ5YREWR87EH,True,Industry,16 weeks
01HQY593ZEK3CZNKVRCXJ3KACM,True,Industry,12 weeks
01HQY593ZE4QPWHQB2BVMEPA6E,True,Industry,12 weeks
01HQY593ZEC4SVDCRNV260SBGV,True,Industry,16 weeks
01HQY593ZEX1MJH402DW6BD1A4,True,Industry,16 weeks
01HQY593ZF12FYT96G387N41SY,True,Industry,12 weeks
01HQY593ZFH7M38TYCDCAQK2WG,True,Industry,12 weeks
01HQY593ZF1E6HACGBMMFS3CKW,True,Industry,12 weeks
01HQY593ZGWC5YKEZV0QR3H9S7,True,Industry,12 weeks
01HQY593ZGZYQV1FYBR8TBVJ41,True,Academic,12 weeks
01HQY593ZGW5BB89HAAH34J7VT,True,Industry,8 weeks
01HQY593ZHDEBX5CQ0P6ZK7F4W,True,Industry,16 weeks
01HQY593ZHC0SH099XAHJZVSVX,True,Industry,8 weeks
01HQY593ZH6S702TF7EHWZC00Y,False,Industry,16 weeks
01HQY593ZHN6TMJ6P3XRZS38JD,True,Industry,12 weeks
01HQY593ZHQKF13ZSM93TT7J29,True,Industry,12 weeks
01HQY593ZJENX40MD46NKS6X9N,True,Industry,4 weeks
01HQY593ZJTN2XBEPC12DFTEGC,True,Industry,16 weeks
01HQY593ZJGJG839PWDNXY19JH,True,Industry,16 weeks
01HQY593ZKFSMSK4Z8NR81VJVH,True,Academic,16 weeks
01HQY593ZKPB1ZGQKSWMA1B26G,True,Industry,16 weeks
01HQY593ZKMZ5M7J0E611GRS24,True,Industry,12 weeks
01HQY593ZK4XJG0PZZ7HXNEEXC,True,Industry,16 weeks
01HQY593ZMTCQ5PP3AJPSW9N93,True,Industry,12 weeks
01HQY593ZM0N771GB5MYKEZ4AT,True,Academic,12 weeks
01HQY593ZMNDXHT8YAZC3ENDT2,True,Industry,8 weeks
01HQY593ZNB1H1E52AS763GYVF,True,Industry,16 weeks
01HQY593ZNYBE6V8S4062YST8G,True,Academic,16 weeks
01HQY593ZNDGSNDSZ2Q39E4AAD,True,Industry,12 weeks
01HQY593ZPN3MMC30499J9Y1TS,True,Academic,12 weeks
01HQY593ZP19HT8TRWMB5Z95PQ,True,Industry,12 weeks
01HQY593ZP26QRDH5RM959VQ23,True,Industry,12 weeks
01HQY593ZQAJXM3Q0J311RG3NG,True,Industry,8 weeks
01HQY593ZQ5SB0WDF87KE18FBN,True,Industry,12 weeks
01HQY593ZQX9DVE4K4E1PFBWXS,True,Industry,12 weeks
01HQY593ZRWMEE1QHT6AKGDSEM,True,Industry,12 weeks
01HQY593ZR9R4VYSA7DV5ZY3K2,False,Academic,12 weeks
01HQY593ZRDVPAEN9VHF5KMH90,True,Industry,12 weeks
