Company_ID,Address,Name,Type
01HQXAVCMWEXEJYR1CVK9QPZQ7,"414 Havey Hill, New York, New York 10003",Altera Digital Health,Private Corporation
01HQXAVCMXRWCNSE1XGC88Z5KR,"8989 Swallow Plaza, Chicago, Illinois 60018", Scale AI ,Private Corporation
01HQXAVCMXTRC4Y81YV23C1ZQ8,"4778 Sage Lane, Chicago, Illinois 60007",Voya Financial,Private Corporation
01HQXAVCMXCRNPED9KR90QAGJN,"42 Corben Road, San Francisco, California 94107",Formlabs,Private Corporation
01HQXAVCMXJ11TZ0EJQNZST6SP,"3 Sycamore Parkway, Austin, Texas 778613", Tenstorrent ,Private Corporation
01HQXAVCMXW24XS7Y1GWDA5KXM,"5 Warner Place, Boston, Massachusetts 02111",Western Digital,Private Corporation
01HQXAVCMYGC67QD7VVVTWSG8Z,"86589 Anzinger Way, San Francisco, California 94103", Hello Fresh ,Private Corporation
01HQXAVCMYMC7111V1RS8T3JBF,"3718 Hansons Place, San Francisco, California 94107",Pinterest,Private Corporation
01HQXAVCMYVW26KJFWGFEP0HP7,"306 Merrick Drive, New York, New York 10001",Jamf,Private Corporation
01HQXAVCMYPH56E9NTCZFHRVCY,"2274 School Junction, Los Angeles, California 90003",Affinitiv,Private Corporation
01HQXAVCMZWP3AR7WDCNQR8KSX,"49127 Welch Street, New York, New York 10002",Squarepoint Capital,Private Corporation
01HQXAVCMZ9JVCFW7J3WXET937,"44 International Parkway, New York, New York 10003",Column,Private Corporation
01HQXAVCMZ5QWT82TXMH57Y77A,"89088 Darwin Avenue, Los Angeles, California 90001", Jerry ,Private Corporation
01HQXAVCMZCE30KFXA446FTTKN,"47 Tony Circle, Miami, Florida 33126", Visa ,Private Corporation
01HQXAVCMZ595QCX4H1BGP13E9,"92967 Karstens Circle, Denver, Colorado 80019",pony.ai,Private Corporation
01HQXAVCN0W99RMJMCYW6YEAQH,"508 Artisan Way, Seattle, Washington 98102",Acorns,Non-Profit Organization
01HQXAVCN0GDDGKK6GH7W08JTJ,"93827 Hollow Ridge Hill, San Francisco, California 94107",Ample,Private Corporation
01HQXAVCN09996V5Z9YWGVFQKE,"4 Starling Street, Los Angeles, California 90001", Gelber Group ,Private Corporation
01HQXAVCN0BQ3YCWBRVKQTTP69,"47735 Browning Street, Miami, Florida 33101",Perpay,Private Corporation
