Portal_ID,Name,Company_ID
01HQY4F1HC1XGPARVQC09JMXXB, Hudl ,01HQXAVCMWEXEJYR1CVK9QPZQ7
01HQY4F1HCVSC3ECXQQ0181Z9Y,Alarm.com,01HQXAVCMXRWCNSE1XGC88Z5KR
01HQY4F1HDQFA6E50X5N6AB7P7,Forbes,01HQXAVCMXTRC4Y81YV23C1ZQ8
01HQY4F1HDDE43MHBEJD2ZG5AB,Konrad Group,01HQXAVCMXCRNPED9KR90QAGJN
01HQY4F1HDZAG3B5F4D146GEXR,Ascend Analytics,01HQXAVCMXJ11TZ0EJQNZST6SP
01HQY4F1HDFSQDJPAFBP1QBFAH,Wayfair,01HQXAVCMXW24XS7Y1GWDA5KXM
01HQY4F1HEKCAH2NM81258VAFM, TuSimple ,01HQXAVCMYGC67QD7VVVTWSG8Z
01HQY4F1HEKZQ6VF8RW72W8M96, Skydio ,01HQXAVCMYMC7111V1RS8T3JBF
01HQY4F1HEF3P3M4X39JRMFYBK, LogicMonitor ,01HQXAVCMYVW26KJFWGFEP0HP7
01HQY4F1HEEY99TYC85AKB87BZ, Connectly ,01HQXAVCMYPH56E9NTCZFHRVCY
01HQY4F1HFKQA9XKN0VKY865YF,Live Nation Entertainment,01HQXAVCMZWP3AR7WDCNQR8KSX
01HQY4F1HFCP3XW6CG80RE2RRE, NewsBreak ,01HQXAVCMZ9JVCFW7J3WXET937
01HQY4F1HFCZW7QG4XQM9T6ZE6,Thumbtack,01HQXAVCMZ5QWT82TXMH57Y77A
01HQY4F1HFJB63AW9DBMN03ZBA, Budderfly ,01HQXAVCMZCE30KFXA446FTTKN
01HQY4F1HGTPTSEZTX52AHM1T6,Jerry,01HQXAVCMZ595QCX4H1BGP13E9
01HQY4F1HGJC85FG3N9KKRK5C5, Jane Street ,01HQXAVCN0W99RMJMCYW6YEAQH
01HQY4F1HG2FYKW9TZMMYN081X, AnaVation LLC ,01HQXAVCN0GDDGKK6GH7W08JTJ
01HQY4F1HGPP1YZVCREA8N9H2K,Qualitest,01HQXAVCN09996V5Z9YWGVFQKE
01HQY4F1HHMR37MHZ0TAVX9E08, Alchemy ,01HQXAVCN0BQ3YCWBRVKQTTP69
01HQY4F1HHKKGW7M2FKREFX19J,Relativity Space,01HQXAVCN024KZC3110647MRAF
01HQY4F1HHG0939GB4ZAYBSWJM, CoreWeave ,01HQXAVCN0C53AX4ESG2RRYPGF
01HQY4F1HH6BDQP11Q6Q1HCQF2, Rhombus Power ,01HQXAVCN1YW764GN3WKHBNSME
01HQY4F1HJKJFWV0AB9T2GA9ZE,Acumen LLC,01HQXAVCN1H6Y37RHNY7S932PK
01HQY4F1HJ094TW2W6DGAPE393,Q2,01HQXAVCN1XAV86CA06SATT8X5
01HQY4F1HJ803QSDS2FS09GCXY, FreedomPay ,01HQXAVCN1FXQ33T0F8GFE3B27
01HQY4F1HJEYXKJDBYT2K9EA2G, Relativity Space ,01HQXAVCN13C9848XTXCNHZCC0
01HQY4F1HK33A5X5C7YWDTN8NR, PayPal ,01HQXAVCN2EXBMMNWDQ9SQHPGM
01HQY4F1HK9PGMD7NVWH6X50A1,Intrinsic,01HQXAVCN21VRNBC6EQ0708WBE
01HQY4F1HKS32XC2H5VJZJK25J,Cohere Health,01HQXAVCN2ZQQYP6WYSZWQAX5J
01HQY4F1HMRBEEPX0234ENZGEW,Acorns,01HQXAVCN39QGVAHWQ3NPCKKGS
01HQY4F1HMC3KW501R1JJ5ZQT6,Red Door Interactive ,01HQXAVCN3ZJYYNEYDE7T68E9V
01HQY4F1HM3PFST5NVCZG2HZQD,Weiss Asset Management,01HQXAVCN4QK4VW9PN5R2T4Y41
