Job_ID,Company_ID,Job_Title,Location,Experience,Requirements,Skills,Recruiter_Username,Portal_ID
01HQY593T458D022KE1X5KW3GH,01HQXAVCMZWP3AR7WDCNQR8KSX, Financing Trader ," London, UK ",5+ years relevant experience,Tableau data analyst certification,"SQL, Julia, SEO/SEM, Social Media Marketing, Ruby SQL, Keras, American Sign Language, Algorithms, Angular",icatfordy,01HQY4F1HFKQA9XKN0VKY865YF
01HQY593T4WCDYXM6WM9A6H0EN,01HQXAVCMWEXEJYR1CVK9QPZQ7, Associate Software Engineer - Remote , Remote in USA ,0-1 years relevant experience,AWS Cloud Practitioner certification,"Julia, Italian, Leadership, Keras, C++, PowerBI, SQLite, Databricks, Scheme, Java",dfarries16,01HQY4F1HC1XGPARVQC09JMXXB
01HQY593T5XMCEY5W4CFFR7PDA,01HQXAVCMWEXEJYR1CVK9QPZQ7, Associate Software Engineer - Remote , Remote in USA ,3+ years relevant experience,Must have at least one year of non-internship relevant experience,"Julia, Social Media Marketing, Snowflake, Docker, Italian, Scheme",ryerbym,01HQY4F1HC1XGPARVQC09JMXXB
01HQY593T5SCN9Y2ERYWHDH46Q,01HQXAVCPEM51PZ6JJR54JWJ1H, Data Analyst ," Raleigh, NC ",1-2 years relevant experience,US Citizen,"Flask, JavaScript, Azure, Algorithms, Neo4j, Communication, German, Ruby, Jenkins",rasaaft,01HQY4F1JPS2JFGPVHB6W9AJZZ
01HQY593T5WG867X8XF3X3WRFP,01HQXAVCPEM51PZ6JJR54JWJ1H, Data Analyst ," Salt Lake City, UT ",1-2 years relevant experience,US Citizen,"Ruby SQL, Linux, LaTeX, Technical Writing, Angular",bgascar5,01HQY4F1JPS2JFGPVHB6W9AJZZ
01HQY593T6GEN2KHJHYE37SG1J,01HQXAVCNC1QSY9AEM7N66FACJ, College Graduates - Full-Time - Fundamental Research Analyst - London ," London, UK ",1-2 years relevant experience,AWS Cloud Practitioner certification,"Urdu, OOP, Graphic Design, Perl, Ansible, Scheme",ryerbym,01HQY4F1HX6YSPE4AGW3CNN5MQ
01HQY593T6ZBVAQ704JF1RTPWS,01HQXAVCP954Y20ZZHK9K1SH45, Associate Specialist - Fine Jewelry & Watches ," Iselin, Woodbridge Township, NJ ",5+ years relevant experience,Must have 5+ years of relevant experience,"Swift, French, Tensorflow, Hindi, Tableau",kcapewellz,01HQY4F1JJP7FMZPHXBMKYT48S
01HQY593T62W3T5357Z0Z812TQ,01HQXAVCQ7SQ7NE6T3PZVRETRV, New College Grad Engineer - Software Engineering - Graduating Dec 2023 - May 2024 ," Rochester, MN ",3+ years relevant experience,Must be willing to relocate,"Ruby SQL, Linux, Project Management, Python, AI/ML frameworks, German, Keras, Oracle Databases, HTML/CSS/JavaScript, Pascal",tburet18,01HQY4F1K731HX7MGDTVJTW51P
01HQY593T7D6ZEMETKK661P02F,01HQXAVCNA49MTKQG8ED2MJ6EP, Machine Learning Engineer – Junior & New Grad ," Mountain View, CA ",3+ years relevant experience,Must have at least one year of non-internship relevant experience,"PyTorch, Spanish, OOP, Scrum, HTML/CSS/JavaScript, Ruby, Angular",okiddd,01HQY4F1HVVDE60X7QQEF4R8ZA
01HQY593T7E3Y96CVZ0KREBTBE,01HQXAVCQZ8KY2KRJE0HCA5REY, Help Desk Specialist ," London, UK ",1-2 years relevant experience,Must have 3+ years of relevant experience,"Backend Stack, Sphinx, C#, Agile, Databases, Financial modeling, PowerBI, Tableau",tburet18,01HQY4F1KSV0PW26HAWVDMYJ0P
