Company,Role,Location,Application/Link,Date Posted
Squarepoint Capital, Financing Trader ," London, UK "," <a href=""https://boards.greenhouse.io/embed/job_app?token=5738194&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/b2771c9d-3832-44d8-b7f7-37bdfeac329f?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 28 
Altera Digital Health, Associate Software Engineer - Remote , Remote in USA ," <a href=""https://boards.greenhouse.io/alteradigitalhealth/jobs/4253680007?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/a7baed2c-2f60-442d-b4d2-1bc59fae781b?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 28 
Altera Digital Health, Associate Software Engineer - Remote , Remote in USA ," <a href=""https://boards.greenhouse.io/alteradigitalhealth/jobs/4261795007?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/8159d3b4-ac1e-4251-a8a9-9643f9ed0ca6?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 28 
Lucid, Data Analyst ," Raleigh, NC "," <a href=""https://boards.greenhouse.io/lucidsoftware/jobs/5062228004?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/0b44ea75-c489-419d-b0e5-389c0441d94b?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 28 
Lucid, Data Analyst ," Salt Lake City, UT "," <a href=""https://boards.greenhouse.io/lucidsoftware/jobs/5071206004?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f87c43e4-2a2a-4492-98ac-900e542cdfa9?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 28 
Old Mission, College Graduates - Full-Time - Fundamental Research Analyst - London ," London, UK "," <a href=""https://www.oldmissioncapital.com/careers/?gh_jid=5899026003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/df524333-ebb1-4a91-94f6-3bd584f9cc9a?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 27 
The RealReal, Associate Specialist - Fine Jewelry & Watches ," Iselin, Woodbridge Township, NJ "," <a href=""https://boards.greenhouse.io/therealreal/jobs/7259756002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/dda694ef-c457-4fa4-ab38-b9ccb9e6b6ce?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 27 
 Western Digital , New College Grad Engineer - Software Engineering - Graduating Dec 2023 - May 2024 ," Rochester, MN ", 🔒 , Feb 25 
NewsBreak, Machine Learning Engineer – Junior & New Grad ," Mountain View, CA "," <a href=""https://boards.greenhouse.io/newsbreak/jobs/4338876006?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f6db0437-48c7-4c28-89d5-76d6e4f15f71?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 24 
Snyk, Help Desk Specialist ," London, UK "," <a href=""https://boards.greenhouse.io/snyk/jobs/7076523002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/13374406-7a09-414e-abf2-9cb1018ec647?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 23 
 LogicMonitor , Associate Data Analyst - CX Strategy & Operations ," Austin, TX ", 🔒 , Feb 23 
 LogicMonitor , Associate Data Analyst - CX Strategy & Operations ," Santa Barbara, CA ", 🔒 , Feb 23 
Dow Jones, Software Engineer ," Gaithersburg, MD "," <a href=""https://dowjones.wd1.myworkdayjobs.com/en-US/Dow_Jones_Career/job/Remote---USA/Software-Engineer_Job_Req_40827?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/63a036e6-a88d-4cd2-94de-789afe288f22?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 23 
Watershed, Software engineer – New grad , SF ," <a href=""https://boards.greenhouse.io/watershedclimate/jobs/4091574004?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/0e3eaa70-2438-4631-b4bf-e7242c140401?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 23 
Relativity Space, Weld Engineer I ," Long Beach, CA "," <a href=""https://boards.greenhouse.io/relativity/jobs/7254024002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/649cfb5d-2861-4a0e-84cc-3929dbf3dadd?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 22 
dunnhumby, Customer Engagement Analyst ," Grand Rapids, MI "," <a href=""https://www.dunnhumby.com/jobs/?gh_jid=5891031003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/2698b474-d313-4e65-865d-f0b02f54d74e?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 22 
Thumbtack, Product Data Scientist - Customer Growth , Remote in USA ," <a href=""https://boards.greenhouse.io/thumbtack/jobs/5630260?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f6ea34e3-ea7e-4d3e-a501-2fbf9645f0bf?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 21 
